Currency,Rates,image
BTC,6153,xyz.png
ETH,2476,xyz.png
USDT,1998,xyz.png
BNB ,5537,xyz.png
SOL ,1469,xyz.png
USDC ,1000,xyz.png
XRP ,5985,xyz.png
DOGE ,1075,xyz.png
TON ,5454,xyz.png
TRX ,1544,xyz.png
ADA ,3564,xyz.png
AVAX ,2616,xyz.png
SHIB ,1200,xyz.png
LINK ,1120,xyz.png
BCH ,3216,xyz.png
DOT ,4201,xyz.png
NEAR ,4872,xyz.png
LEO ,5896,xyz.png
DAI ,1001,xyz.png
SUI ,1859,xyz.png
LTC ,6408,xyz.png
UNI ,7043,xyz.png
PEPE ,1500,xyz.png
TAO ,5465,xyz.png
ICP ,8314,xyz.png
APT ,7733,xyz.png
FET ,1513,abc.png
KAS ,1516,abc.png
RENDER ,5927,abc.png
POL ,3837,abc.png
XLM ,1944,abc.png
ETC ,1858,abc.png
FDUSD ,9987,abc.png
XMR ,1456,abc.png
STX ,1743,abc.png
IMX ,1591,abc.png
USDE ,1998,abc.png
OKB ,4049,abc.png
WIF ,4170,abc.png
AAVE ,1487,abc.png
FIL ,3677,abc.png
INJ ,2208,abc.png
CRO ,8107,abc.png
OP ,1689,abc.png
HBAR ,5444,abc.png
ARB ,5575,abc.png
FTM ,7133,abc.png
MNT ,5985,3602.png
VET ,2301,3602.png
BONK ,1900,3602.png
ATOM ,5000,3602.png
SEI ,1898,3602.png
RUNE ,4000,3602.png
GRT ,1502,3602.png
BGB ,1987,3602.png
FLOKI ,1425,3602.png
HNT ,4800,3602.png
MKR ,1515,3602.png
THETA ,1325,3602.png
AR ,2002,3602.png
HEX ,1377,30171.png
HTX ,1000,30171.png
PYTH ,3336,30171.png
TIA ,5300,30171.png
JUP ,8296,30171.png
OM ,1278,30171.png
ALGO ,1271,30171.png
LDO ,1157,30171.png
ONDO ,7355,30171.png
JASMY ,2069,30171.png
WBT ,1139,30171.png
POPCAT ,1006,30171.png
W ,3785,30171.png
BEAM ,1902,30171.png
KCS ,7803,30171.png
BSV ,4616,30171.png
BRETT ,8924,30171.png
BTT  ,1235,30171.png
WLD ,1740,30171.png
CORE ,9368,30171.png
QNT ,7030,30171.png
PLS ,2000,30171.png
FLOW ,5503,30171.png
CFX ,1897,30171.png
NOT ,7826,30171.png
STRK ,4015,30171.png
GT ,8478,30171.png
EOS ,4855,30171.png
USDD ,1400,30171.png
FTT ,2242,30171.png
AXS ,4821,30171.png
FTN ,2399,30171.png
EIGEN ,3923,30171.png
GALA ,2095,30171.png
NEO ,1034,30171.png
CHEEL ,1279,30171.png
FLR ,1496,30171.png
ORDI ,3437,30171.png
EGLD ,2597,30171.png
CKB ,1564,30171.png
