id,applicationPublicId,version,latestAvailableVersion,closestSecureVersion,gav,securityRisk,maximumThreatValue,threatLevel,effort,rationalization
5,poooh.ear,1.6.10,null,1.6.19,org.apache.ws.security:wss4j:jar:1.6.10,80.9,7.5,critical,High,Nee
6,poooh.ear,3,null,3.1,commons-httpclient:commons-httpclient:jar:3.0,15.9,5.8,severe,High,Nee
7,poooh.ear,3.1.1.RELEASE,3.2.9.RELEASE,4.2.4.RELEASE,org.springframework:spring-core:jar:3.1.1.RELEASE,5,5,severe,Low,Ja
8,poooh.ear,1.3.2-1,1.4.1,1.4.4,org.opensaml:xmltooling:jar:1.3.2-1,15,5,severe,Low,Nee
9,poooh.ear,3.1.1.RELEASE,3.2.12.RELEASE,4.2.4.RELEASE,org.springframework:spring-webmvc:jar:3.1.1.RELEASE,13.6,5,severe,Low,Ja
10,poooh.ear,2.7.1,2.7.2,2.7.2,xalan:xalan:jar:2.7.1,15,7.5,critical,Low,Nee
11,poooh.ear,3.2.1,3.2.2,3.2.2,commons-collections:commons-collections:jar:3.2.1,9,9,critical,Low,Nee
12,poooh.ear,1.45,null,1.46,org.bouncycastle:bcprov-jdk15:jar:1.45,6.6,4,moderate,High,Nee
13,poooh.ear,3.1.1.RELEASE,3.2.9.RELEASE,4.2.4.RELEASE,org.springframework:spring-web:jar:3.1.1.RELEASE,27.2,6.8,severe,Low,Ja
14,poooh.ear,138,139,140,bouncycastle:bcprov-jdk14:jar:138,6.6,4,moderate,Medium,Nee
15,poooh.ear,1.5.4,2.0.3,2.0.6,org.apache.santuario:xmlsec:jar:1.5.4,49.3,7.5,critical,Medium,Nee
16,poooh.ear,0.3.9,null,0.3.9,ca.juliusdavies:not-yet-commons-ssl:jar:0.3.9,6.8,6.8,severe,High,Nee
17,poooh.ear,2.0GA,null,2.1.0,org.owasp.esapi:esapi:jar:2.0GA,12,5.8,severe,High,Nee
18,winnie.ear,1.6.10,null,1.6.19,org.apache.ws.security:wss4j:jar:1.6.10,80.9,7.5,critical,High,Nee
19,winnie.ear,3,null,3.1,commons-httpclient:commons-httpclient:jar:3.0,15.9,5.8,severe,High,Nee
20,winnie.ear,3.1.1.RELEASE,3.2.9.RELEASE,4.2.4.RELEASE,org.springframework:spring-core:jar:3.1.1.RELEASE,5,5,severe,Low,Ja
21,winnie.ear,1.3.2-1,1.4.1,1.4.4,org.opensaml:xmltooling:jar:1.3.2-1,15,5,severe,Low,Nee
22,winnie.ear,3.1.1.RELEASE,3.2.12.RELEASE,4.2.4.RELEASE,org.springframework:spring-webmvc:jar:3.1.1.RELEASE,13.6,5,severe,Low,Ja
23,winnie.ear,2.7.1,2.7.2,2.7.2,xalan:xalan:jar:2.7.1,15,7.5,critical,Low,Nee
24,winnie.ear,3.2.1,3.2.2,3.2.2,commons-collections:commons-collections:jar:3.2.1,9,9,critical,Low,Nee
25,winnie.ear,1.45,null,1.46,org.bouncycastle:bcprov-jdk15:jar:1.45,6.6,4,moderate,High,Nee
26,winnie.ear,3.1.1.RELEASE,3.2.9.RELEASE,4.2.4.RELEASE,org.springframework:spring-web:jar:3.1.1.RELEASE,27.2,6.8,severe,Low,Ja
27,winnie.ear,2.10.0,null,2.11.0,xerces:xercesImpl:jar:2.10.0,7.1,7.1,critical,High,Nee
28,winnie.ear,138,139,140,bouncycastle:bcprov-jdk14:jar:138,6.6,4,moderate,Medium,Nee
29,winnie.ear,1.5.4,2.0.3,2.0.6,org.apache.santuario:xmlsec:jar:1.5.4,49.3,7.5,critical,Medium,Nee
30,winnie.ear,0.3.9,null,0.3.9,ca.juliusdavies:not-yet-commons-ssl:jar:0.3.9,6.8,6.8,severe,High,Nee
31,winnie.ear,2.0GA,null,2.1.0,org.owasp.esapi:esapi:jar:2.0GA,12,5.8,severe,High,Nee
32,minnie.ear,3.1.1.RELEASE,3.2.9.RELEASE,4.2.4.RELEASE,org.springframework:spring-core:jar:3.1.1.RELEASE,5,5,severe,Low,Ja
33,mickey.ear,1.6.10,null,1.6.19,org.apache.ws.security:wss4j:jar:1.6.10,80.9,7.5,critical,High,Nee
34,mickey.ear,3,null,3.1,commons-httpclient:commons-httpclient:jar:3.0,15.9,5.8,severe,High,Nee
35,mickey.ear,3.1.1.RELEASE,3.2.9.RELEASE,4.2.4.RELEASE,org.springframework:spring-core:jar:3.1.1.RELEASE,5,5,severe,Low,Ja
36,mickey.ear,1.3.2-1,1.4.1,1.4.4,org.opensaml:xmltooling:jar:1.3.2-1,15,5,severe,Low,Nee
37,mickey.ear,3.1.1.RELEASE,3.2.12.RELEASE,4.2.4.RELEASE,org.springframework:spring-webmvc:jar:3.1.1.RELEASE,13.6,5,severe,Low,Ja
38,mickey.ear,2.7.1,2.7.2,2.7.2,xalan:xalan:jar:2.7.1,15,7.5,critical,Low,Nee
39,mickey.ear,3.2.1,3.2.2,3.2.2,commons-collections:commons-collections:jar:3.2.1,9,9,critical,Low,Nee
40,mickey.ear,1.45,null,1.46,org.bouncycastle:bcprov-jdk15:jar:1.45,6.6,4,moderate,High,Nee
41,mickey.ear,3.1.1.RELEASE,3.2.9.RELEASE,4.2.4.RELEASE,org.springframework:spring-web:jar:3.1.1.RELEASE,27.2,6.8,severe,Low,Ja
42,mickey.ear,138,139,140,bouncycastle:bcprov-jdk14:jar:138,6.6,4,moderate,Medium,Nee
43,mickey.ear,1.5.4,2.0.3,2.0.6,org.apache.santuario:xmlsec:jar:1.5.4,49.3,7.5,critical,Medium,Nee
44,mickey.ear,0.3.9,null,0.3.9,ca.juliusdavies:not-yet-commons-ssl:jar:0.3.9,6.8,6.8,severe,High,Nee
45,mickey.ear,2.0GA,null,2.1.0,org.owasp.esapi:esapi:jar:2.0GA,12,5.8,severe,High,Nee
46,pluto.ear,1.6.10,null,1.6.19,org.apache.ws.security:wss4j:jar:1.6.10,80.9,7.5,critical,High,Nee
47,pluto.ear,3,null,3.1,commons-httpclient:commons-httpclient:jar:3.0,15.9,5.8,severe,High,Nee
48,pluto.ear,3.1,3.2.2,3.2.2,commons-collections:commons-collections:jar:3.1,9,9,critical,Low,Nee
49,pluto.ear,3.1.1.RELEASE,3.2.9.RELEASE,4.2.4.RELEASE,org.springframework:spring-core:jar:3.1.1.RELEASE,5,5,severe,Low,Ja
50,pluto.ear,1.3.2-1,1.4.1,1.4.4,org.opensaml:xmltooling:jar:1.3.2-1,15,5,severe,Low,Nee
51,pluto.ear,2.7.1,2.7.2,2.7.2,xalan:xalan:jar:2.7.1,15,7.5,critical,Low,Nee
52,pluto.ear,1.45,null,1.46,org.bouncycastle:bcprov-jdk15:jar:1.45,6.6,4,moderate,High,Nee
53,pluto.ear,3.1.1.RELEASE,3.2.9.RELEASE,4.2.4.RELEASE,org.springframework:spring-web:jar:3.1.1.RELEASE,27.2,6.8,severe,Low,Ja
54,pluto.ear,2.10.0,null,2.11.0,xerces:xercesImpl:jar:2.10.0,7.1,7.1,critical,High,Nee
55,pluto.ear,1.5.4,2.0.3,2.0.6,org.apache.santuario:xmlsec:jar:1.5.4,49.3,7.5,critical,Medium,Nee
56,pluto.ear,0.3.9,null,0.3.9,ca.juliusdavies:not-yet-commons-ssl:jar:0.3.9,6.8,6.8,severe,High,Nee
57,pluto.ear,2.0GA,null,2.1.0,org.owasp.esapi:esapi:jar:2.0GA,12,5.8,severe,High,Nee
